,sa_5hz,PGA,rot_lin,rot_nlin
21250,4.7124803,1.290515,0.72386956,0.72386956
21251,0.069263644,0.013730577,0.084593507,0.084593507
21252,12.475653,9.1956428,0.73086896,0.73086896
21253,2.7616104,0.66647649,0.51793049,0.51793049
21254,1.3985408,0.48537721,0.27814099,0.27814099
21255,4.2833662,1.3326071,0.48272027,0.48272027
21256,13.660893,1.671026,1.7269215,4.13609
21257,2.5057734,0.35940921,0.43998462,0.43998462
21258,1.4829277,0.2907617,0.32836735,0.32836735
21259,2.7916029,0.61096836,0.49643518,0.49643518
21260,2.2666704,0.70379604,0.28019716,0.28019716
21261,8.1578394,3.1926845,0.94435031,0.94435031
21262,11.052556,3.6378614,1.1906582,1.85947
21263,2.3913149,1.2255197,0.39873045,0.39873045
21264,9.7011502,2.4374665,1.1766771,2.03425
21265,8.5680591,1.1523559,1.1803359,1.76424
21266,1.1843153,0.55888511,0.21662526,0.21662526
21267,4.7631307,1.2299383,0.67601572,0.67601572
21268,12.320004,1.3656665,2.0666579,6.44831
21269,8.8586805,1.602661,0.86871197,0.86871197
21270,9.8333389,1.8048994,1.1127746,1.48115
21271,3.6923052,2.085516,0.56032237,0.56032237
21272,0.17466974,0.074293222,0.10029689,0.10029689
21273,5.9651234,2.1446423,0.71383454,0.71383454
21274,4.2313684,0.94440663,0.68828062,0.68828062
21275,3.9121453,0.65384552,0.70756315,0.70756315
21276,12.563366,6.021829,0.7719394,0.7719394
21277,8.4468162,3.3210597,1.3525478,2.84004
21278,0.65523641,0.31204597,0.11597043,0.11597043
21279,6.523447,0.70922771,0.75060811,0.75060811
21280,4.2995858,0.83763325,0.66987562,0.66987562
21281,0.17399229,0.03805338,0.097215842,0.097215842
21282,1.5107476,0.48812119,0.2130216,0.2130216
21283,0.63633636,0.15816,0.15339175,0.15339175
21284,0.74226755,0.76522497,0.14374047,0.14374047
21285,10.88069,3.0805453,1.666913,4.4445
21286,3.7181658,1.168368,0.25423338,0.25423338
21287,6.5484451,1.1272674,0.54702354,0.54702354
21288,8.6823933,1.997107,0.93988081,0.93988081
21289,0.41232988,0.53552299,0.13162656,0.13162656
21290,5.2718299,1.034132,0.9078716,0.9078716
21291,0.73746274,0.15966191,0.19447478,0.19447478
21292,21.836122,5.0181113,2.5819291,6.56841
21293,1.6061751,1.482504,0.20711264,0.20711264
21294,12.755683,6.3949107,1.0852447,1.32927
21295,3.035078,1.7413358,0.20753885,0.20753885
21296,8.2669083,2.3088379,0.67804493,0.67804493
21297,5.559606,0.59328608,0.86010794,0.86010794
21298,6.1829797,1.5535538,0.70375814,0.70375814
21299,3.3900382,0.84702185,0.5659187,0.5659187
21300,5.3552986,1.0489975,0.76881199,0.76881199
21301,0.20254346,0.073676689,0.10492074,0.10492074
21302,3.2852602,1.2452874,0.61989368,0.61989368
21303,7.6551739,2.5835198,0.79158386,0.79158386
21304,1.9321424,1.4816955,0.26517783,0.26517783
21305,6.6505593,1.0179523,0.870161,0.870161
21306,16.522517,2.4196418,1.9227005,6.015
21307,5.7350945,1.1803211,0.89939636,0.89939636
21308,1.1117315,0.64041267,0.2049158,0.2049158
21309,4.2890047,1.0092136,0.70382157,0.70382157
21310,2.505181,0.81929588,0.47721321,0.47721321
21311,6.6278856,1.4735358,0.7217543,0.7217543
21312,7.538353,1.3531541,1.0639999,1.28083
21313,4.2300087,0.95351775,0.62588438,0.62588438
21314,17.04526,5.1260606,1.8310422,5.8798
21315,3.7150074,0.94517976,0.68098749,0.68098749
21316,3.0459113,1.1918068,0.3887612,0.3887612
